image name,label
10237 - section 3 - 1.png,0
10237 - section 3 - 11.png,0
10237 - section 3 - 14.png,0
10237 - section 3 - 16.png,0
10237 - section 3 - 20.png,0
10237 - section 3 - 3.png,0
10237 - section 3 - 4.png,0
10237 - section 3 - 5.png,0
10237 - section 3 - 6.png,0
10237 - section 3 - 8.png,0
10237 - section 3 - 9.png,0
10237 - surface 1 - 1.png,0
10237 - surface 1 - 10.png,0
10237 - surface 1 - 11.png,0
10237 - surface 1 - 12.png,0
10237 - surface 1 - 13.png,0
10237 - surface 1 - 15.png,0
10237 - surface 1 - 2.png,0
10237 - surface 1 - 3.png,0
10237 - surface 1 - 4.png,0
10237 - surface 1 - 5.png,0
10237 - surface 1 - 8.png,0
10237 - surface 1 - 9.png,0
10863 - section 2 - 27.png,0
10863 - section 2 - 28.png,0
10863 - section 2 - 31.png,0
10863 - section 2 - 32.png,0
10863 - section 2 - 33.png,0
10863 - section 2 - 35.png,0
10863 - section 2 - 37.png,0
10863 - section 2 - 40.png,0
10863 - section 2 - 42.png,0
10863 - section 2 - 43.png,0
10863 - section 2 - 44.png,0
10863 - section 2 - 51.png,0
10863 - section 2 - 52.png,0
10863 - section 2 - 54.png,0
10863 - section 2 - 56.png,0
10863 - section 2 - 59.png,0
10863 - section 2 - 62.png,0
10863 - section 2 - 66.png,0
10863 - section 2 - 71.png,0
10863 - section 2 - 72.png,0
10863 - section 2 - 73.png,0
10863 - section 2 - 75.png,0
10863 - section 2 - 76.png,0
10863 - section 2 - 78.png,0
10863 - section 2 - 80.png,0
10863 - surface 1 - 17.png,0
10863 - surface 1 - 18.png,0
10863 - surface 1 - 20.png,0
10863 - surface 1 - 22.png,0
10863 - surface 1 - 23.png,0
10863 - surface 1 - 24.png,0
10863 - surface 1 - 25.png,0
10863 - surface 1 - 26.png,0
10863 - surface 1 - 27.png,0
10863 - surface 1 - 29.png,0
10863 - surface 1 - 30.png,0
10863 - surface 1 - 31.png,0
10863 - surface 1 - 33.png,0
10863 - surface 1 - 34.png,0
10863 - surface 1 - 35.png,0
10863 - surface 1 - 36.png,0
10863 - surface 1 - 37.png,0
10863 - surface 1 - 39.png,0
10863 - surface 1 - 40.png,0
10863 - surface 1 - 41.png,0
10863 - surface 1 - 42.png,0
10863 - surface 1 - 43.png,0
10863 - surface 1 - 44.png,0
10863 - surface 1 - 45.png,0
10863 - surface 1 - 47.png,0
10863 - surface 1 - 49.png,0
10863 - surface 1 - 53.png,0
10863 - surface 1 - 54.png,0
10863 - surface 1 - 55.png,0
10863 - surface 1 - 58.png,0
10863 - surface 1 - 59.png,0
10863 - surface 1 - 60.png,0
10863 - surface 1 - 61.png,0
10863 - surface 1 - 62.png,0
10863 - surface 1 - 63.png,0
10863 - surface 1 - 64.png,0
10863 - surface 1 - 66.png,0
10863 - surface 1 - 67.png,0
10863 - surface 1 - 70.png,0
10863 - surface 1 - 71.png,0
10863 - surface 1 - 72.png,0
10863 - surface 1 - 74.png,0
10863 - surface 1 - 75.png,0
10863 - surface 1 - 76.png,0
10863 - surface 1 - 77.png,0
10863 - surface 1 - 78.png,0
10863 - surface 1 - 80.png,0
10863 - surface 1 - 81.png,0
10863 - surface 1 - 82.png,0
10863 - surface 1 - 84.png,0
10863 - surface 1 - 85.png,0
10863 - surface 1 - 86.png,0
10863 - surface 1 - 90.png,0
10863 - surface 1 - 92.png,0
10863 - surface 1 - 93.png,0
10863 - surface 1 - 94.png,0
10863 - surface 1 - 97.png,0
10863 - surface 1 - 99.png,0
11459 - section 2 - 82.png,0
11459 - section 2 - 83.png,0
11459 - section 2 - 84.png,0
11459 - section 2 - 85.png,0
11459 - section 4 - 87.png,0
11537 - surface 1 - 100.png,0
11537 - surface 1 - 101.png,0
11537 - surface 1 - 102.png,0
11537 - surface 1 - 103.png,0
11537 - surface 1 - 105.png,0
11537 - surface 1 - 106.png,0
11537 - surface 2 - 107.png,0
11537 - surface 2 - 108.png,0
11537 - surface 2 - 109.png,0
11537 - surface 2 - 113.png,0
11537 - surface 2 - 114.png,0
11537 - surface 2 - 116.png,0
11537 - surface 2 - 118.png,0
13216 - section 1 - 103.png,0
13216 - section 1 - 104.png,0
13216 - section 1 - 106.png,0
13216 - section 1 - 107.png,0
13216 - section 1 - 108.png,0
13216 - section 1 - 109.png,0
13216 - section 1 - 113.png,0
13216 - section 1 - 114.png,0
13216 - section 1 - 115.png,0
13216 - section 1 - 116.png,0
13216 - section 1 - 120.png,0
13216 - section 1 - 121.png,0
13216 - section 1 - 125.png,0
13216 - section 1 - 127.png,0
13216 - section 1 - 131.png,0
13216 - section 1 - 132.png,0
13216 - section 1 - 133.png,0
13216 - section 1 - 135.png,0
13216 - section 1 - 137.png,0
13216 - section 1 - 140.png,0
13216 - section 1 - 142.png,0
13216 - section 1 - 144.png,0
13216 - section 1 - 151.png,0
13216 - section 1 - 152.png,0
13216 - section 1 - 153.png,0
13216 - section 1 - 154.png,0
13216 - section 1 - 158.png,0
13216 - section 1 - 159.png,0
13216 - section 1 - 161.png,0
13216 - section 1 - 164.png,0
13216 - section 1 - 165.png,0
13216 - section 1 - 166.png,0
13216 - section 1 - 167.png,0
13216 - section 1 - 168.png,0
13216 - section 1 - 169.png,0
13216 - section 1 - 171.png,0
13216 - section 1 - 173.png,0
13216 - section 1 - 174.png,0
13216 - section 1 - 177.png,0
13216 - section 1 - 178.png,0
13216 - section 1 - 179.png,0
13216 - section 1 - 182.png,0
13216 - section 1 - 183.png,0
13216 - section 1 - 190.png,0
13216 - section 1 - 192.png,0
13216 - section 1 - 194.png,0
13216 - section 1 - 195.png,0
13216 - section 1 - 196.png,0
13216 - section 1 - 197.png,0
13216 - section 1 - 199.png,0
13216 - section 1 - 202.png,0
13216 - section 1 - 207.png,0
13216 - section 1 - 209.png,0
13216 - section 1 - 213.png,0
13216 - section 1 - 214.png,0
13216 - section 1 - 217.png,0
13216 - section 1 - 218.png,0
13216 - section 1 - 219.png,0
13216 - section 1 - 221.png,0
13216 - section 1 - 222.png,0
13216 - section 1 - 223.png,0
13216 - section 1 - 225.png,0
13216 - section 1 - 226.png,0
13216 - section 1 - 231.png,0
13216 - section 1 - 233.png,0
13216 - section 1 - 237.png,0
13216 - section 1 - 238.png,0
13216 - section 1 - 243.png,0
13216 - section 1 - 244.png,0
13216 - section 1 - 245.png,0
13216 - section 1 - 248.png,0
13216 - section 1 - 251.png,0
13216 - section 1 - 252.png,0
13216 - section 1 - 253.png,0
13216 - section 1 - 254.png,0
13216 - section 1 - 258.png,0
13216 - section 1 - 260.png,0
13216 - section 1 - 261.png,0
13216 - section 1 - 262.png,0
13216 - section 1 - 268.png,0
13216 - section 1 - 269.png,0
13216 - section 1 - 270.png,0
13216 - section 1 - 271.png,0
13216 - section 1 - 272.png,0
13216 - section 1 - 89.png,0
13216 - section 1 - 90.png,0
13216 - section 1 - 98.png,0
13216 - section 1 - 99.png,0
13216 - section 3 - 275.png,0
13216 - section 3 - 276.png,0
13216 - section 3 - 280.png,0
13216 - section 3 - 281.png,0
13216 - section 3 - 283.png,0
13216 - section 3 - 285.png,0
13216 - section 3 - 286.png,0
13216 - section 3 - 287.png,0
13216 - section 3 - 288.png,0
13216 - section 3 - 290.png,0
13216 - section 3 - 292.png,0
13216 - section 3 - 294.png,0
13216 - section 3 - 296.png,0
13216 - section 3 - 297.png,0
13216 - section 3 - 298.png,0
13216 - section 3 - 301.png,0
13216 - section 3 - 302.png,0
13216 - section 3 - 304.png,0
13216 - section 3 - 306.png,0
13216 - section 3 - 309.png,0
13216 - section 3 - 310.png,0
13216 - section 3 - 312.png,0
13216 - section 3 - 314.png,0
13216 - section 3 - 316.png,0
13216 - section 3 - 317.png,0
13216 - section 3 - 318.png,0
13216 - section 3 - 321.png,0
13216 - section 3 - 325.png,0
13216 - section 3 - 326.png,0
13216 - section 3 - 328.png,0
13216 - section 3 - 329.png,0
13216 - section 3 - 330.png,0
13216 - section 3 - 333.png,0
13216 - section 3 - 340.png,0
13216 - section 3 - 346.png,0
13216 - section 3 - 348.png,0
13216 - section 3 - 349.png,0
13216 - section 3 - 350.png,0
13216 - section 3 - 351.png,0
13216 - section 3 - 353.png,0
13216 - section 3 - 356.png,0
13216 - section 3 - 357.png,0
13216 - section 3 - 366.png,0
13216 - section 3 - 367.png,0
13216 - section 3 - 369.png,0
13216 - section 3 - 370.png,0
13216 - section 3 - 371.png,0
13216 - section 3 - 372.png,0
13216 - section 3 - 376.png,0
13216 - section 3 - 377.png,0
13216 - section 3 - 380.png,0
13216 - section 3 - 383.png,0
13216 - section 3 - 384.png,0
13216 - section 3 - 386.png,0
13216 - section 3 - 387.png,0
13216 - section 3 - 389.png,0
13216 - section 3 - 390.png,0
13216 - section 3 - 393.png,0
13216 - section 3 - 394.png,0
13216 - section 3 - 395.png,0
13216 - section 3 - 396.png,0
13216 - section 3 - 397.png,0
13216 - section 3 - 398.png,0
13216 - section 3 - 402.png,0
13216 - section 3 - 404.png,0
13216 - section 3 - 405.png,0
13216 - section 3 - 406.png,0
13216 - section 3 - 409.png,0
13216 - section 3 - 410.png,0
13216 - section 3 - 414.png,0
13216 - section 3 - 415.png,0
13216 - section 3 - 418.png,0
13216 - section 3 - 422.png,0
13216 - section 3 - 428.png,0
13216 - section 3 - 429.png,0
13216 - section 3 - 432.png,0
13216 - section 3 - 433.png,0
