image name,label
10237 - surface 1 - 1.png,0
10237 - surface 1 - 10.png,0
10237 - surface 1 - 11.png,0
10237 - surface 1 - 12.png,0
10237 - surface 1 - 13.png,0
10237 - surface 1 - 15.png,0
10237 - surface 1 - 2.png,0
10237 - surface 1 - 3.png,0
10237 - surface 1 - 4.png,0
10237 - surface 1 - 5.png,0
10237 - surface 1 - 8.png,0
10237 - surface 1 - 9.png,0
10863 - surface 1 - 17.png,0
10863 - surface 1 - 18.png,0
10863 - surface 1 - 20.png,0
10863 - surface 1 - 22.png,0
10863 - surface 1 - 23.png,0
10863 - surface 1 - 24.png,0
10863 - surface 1 - 25.png,0
10863 - surface 1 - 26.png,0
10863 - surface 1 - 27.png,0
10863 - surface 1 - 29.png,0
10863 - surface 1 - 30.png,0
10863 - surface 1 - 31.png,0
10863 - surface 1 - 33.png,0
10863 - surface 1 - 34.png,0
10863 - surface 1 - 35.png,0
10863 - surface 1 - 36.png,0
10863 - surface 1 - 37.png,0
10863 - surface 1 - 39.png,0
10863 - surface 1 - 40.png,0
10863 - surface 1 - 41.png,0
10863 - surface 1 - 42.png,0
10863 - surface 1 - 43.png,0
10863 - surface 1 - 44.png,0
10863 - surface 1 - 45.png,0
10863 - surface 1 - 47.png,0
10863 - surface 1 - 49.png,0
10863 - surface 1 - 53.png,0
10863 - surface 1 - 54.png,0
10863 - surface 1 - 55.png,0
10863 - surface 1 - 58.png,0
10863 - surface 1 - 59.png,0
10863 - surface 1 - 60.png,0
10863 - surface 1 - 61.png,0
10863 - surface 1 - 62.png,0
10863 - surface 1 - 63.png,0
10863 - surface 1 - 64.png,0
10863 - surface 1 - 66.png,0
10863 - surface 1 - 67.png,0
10863 - surface 1 - 70.png,0
10863 - surface 1 - 71.png,0
10863 - surface 1 - 72.png,0
10863 - surface 1 - 74.png,0
10863 - surface 1 - 75.png,0
10863 - surface 1 - 76.png,0
10863 - surface 1 - 77.png,0
10863 - surface 1 - 78.png,0
10863 - surface 1 - 80.png,0
10863 - surface 1 - 81.png,0
10863 - surface 1 - 82.png,0
10863 - surface 1 - 84.png,0
10863 - surface 1 - 85.png,0
10863 - surface 1 - 86.png,0
10863 - surface 1 - 90.png,0
10863 - surface 1 - 92.png,0
10863 - surface 1 - 93.png,0
10863 - surface 1 - 94.png,0
10863 - surface 1 - 97.png,0
10863 - surface 1 - 99.png,0
11537 - surface 1 - 100.png,0
11537 - surface 1 - 101.png,0
11537 - surface 1 - 102.png,0
11537 - surface 1 - 103.png,0
11537 - surface 1 - 105.png,0
11537 - surface 1 - 106.png,0
11537 - surface 2 - 107.png,0
11537 - surface 2 - 108.png,0
11537 - surface 2 - 109.png,0
11537 - surface 2 - 113.png,0
11537 - surface 2 - 114.png,0
11537 - surface 2 - 116.png,0
11537 - surface 2 - 118.png,0
141888 - surface 2 - 121.png,0
141888 - surface 2 - 122.png,0
141888 - surface 2 - 123.png,0
141888 - surface 2 - 124.png,0
141888 - surface 2 - 125.png,0
141888 - surface 2 - 126.png,0
141888 - surface 2 - 128.png,0
141888 - surface 2 - 129.png,0
141888 - surface 2 - 130.png,0
141888 - surface 2 - 131.png,0
141888 - surface 2 - 132.png,0
141888 - surface 2 - 133.png,0
141888 - surface 2 - 134.png,0
141888 - surface 2 - 135.png,0
141888 - surface 2 - 136.png,0
141888 - surface 2 - 138.png,0
141888 - surface 2 - 141.png,0
141888 - surface 2 - 143.png,0
141888 - surface 2 - 144.png,0
141888 - surface 2 - 145.png,0
141888 - surface 2 - 146.png,0
141888 - surface 2 - 147.png,0
141888 - surface 2 - 149.png,0
141888 - surface 2 - 150.png,0
141888 - surface 2 - 151.png,0
141888 - surface 2 - 152.png,0
141888 - surface 2 - 154.png,0
141888 - surface 2 - 155.png,0
141888 - surface 2 - 156.png,0
141888 - surface 2 - 157.png,0
141888 - surface 2 - 158.png,0
141888 - surface 2 - 159.png,0
141888 - surface 2 - 161.png,0
141888 - surface 2 - 163.png,0
141888 - surface 2 - 167.png,0
141888 - surface 2 - 168.png,0
141888 - surface 2 - 169.png,0
141888 - surface 2 - 171.png,0
141888 - surface 2 - 173.png,0
141888 - surface 2 - 174.png,0
141888 - surface 2 - 175.png,0
141888 - surface 2 - 176.png,0
141888 - surface 2 - 179.png,0
141888 - surface 2 - 182.png,0
141888 - surface 2 - 184.png,0
141888 - surface 2 - 186.png,0
141888 - surface 2 - 187.png,0
141888 - surface 2 - 188.png,0
141888 - surface 2 - 189.png,0
141888 - surface 2 - 191.png,0
141888 - surface 2 - 192.png,0
141888 - surface 2 - 193.png,0
141888 - surface 2 - 194.png,0
141888 - surface 2 - 196.png,0
141888 - surface 2 - 197.png,0
141888 - surface 2 - 200.png,0
141888 - surface 2 - 202.png,0
141888 - surface 2 - 206.png,0
